home_id,away_id,home_name,away_name,result
44,50,Burnley,Manchester City,0
42,65,Arsenal,Nottingham Forest,2
35,48,Bournemouth,West Ham,1
45,36,Everton,Fulham,0
51,1359,Brighton,Luton,2
62,52,Sheffield Utd,Crystal Palace,0
34,66,Newcastle,Aston Villa,2
55,47,Brentford,Tottenham,1
49,40,Chelsea,Liverpool,1
33,39,Manchester United,Wolves,2
65,62,Nottingham Forest,Sheffield Utd,2
36,55,Fulham,Brentford,0
39,51,Wolves,Brighton,0
40,35,Liverpool,Bournemouth,2
47,33,Tottenham,Manchester United,2
50,34,Manchester City,Newcastle,2
66,45,Aston Villa,Everton,2
48,49,West Ham,Chelsea,2
52,42,Crystal Palace,Arsenal,0
49,1359,Chelsea,Luton,2
35,47,Bournemouth,Tottenham,0
33,65,Manchester United,Nottingham Forest,2
42,36,Arsenal,Fulham,1
45,39,Everton,Wolves,0
55,52,Brentford,Crystal Palace,1
51,48,Brighton,West Ham,0
44,66,Burnley,Aston Villa,0
62,50,Sheffield Utd,Manchester City,0
34,40,Newcastle,Liverpool,0
1359,48,Luton,West Ham,0
62,45,Sheffield Utd,Everton,1
44,47,Burnley,Tottenham,0
49,65,Chelsea,Nottingham Forest,0
50,36,Manchester City,Fulham,2
55,35,Brentford,Bournemouth,1
51,34,Brighton,Newcastle,2
40,66,Liverpool,Aston Villa,2
52,39,Crystal Palace,Wolves,2
42,33,Arsenal,Manchester United,2
39,40,Wolves,Liverpool,0
33,51,Manchester United,Brighton,0
36,1359,Fulham,Luton,2
47,62,Tottenham,Sheffield Utd,2
48,50,West Ham,Manchester City,0
66,52,Aston Villa,Crystal Palace,2
34,55,Newcastle,Brentford,2
35,49,Bournemouth,Chelsea,1
45,42,Everton,Arsenal,0
65,44,Nottingham Forest,Burnley,1
50,65,Manchester City,Nottingham Forest,2
52,36,Crystal Palace,Fulham,1
1359,39,Luton,Wolves,1
55,45,Brentford,Everton,0
44,33,Burnley,Manchester United,0
40,48,Liverpool,West Ham,2
42,47,Arsenal,Tottenham,1
49,66,Chelsea,Aston Villa,0
51,35,Brighton,Bournemouth,2
62,34,Sheffield Utd,Newcastle,0
66,51,Aston Villa,Brighton,2
33,52,Manchester United,Crystal Palace,0
34,44,Newcastle,Burnley,2
35,42,Bournemouth,Arsenal,0
39,50,Wolves,Manchester City,2
45,1359,Everton,Luton,0
48,62,West Ham,Sheffield Utd,2
47,40,Tottenham,Liverpool,2
65,55,Nottingham Forest,Brentford,1
36,49,Fulham,Chelsea,0
1359,44,Luton,Burnley,0
1359,47,Luton,Tottenham,0
33,55,Manchester United,Brentford,2
36,62,Fulham,Sheffield Utd,2
44,49,Burnley,Chelsea,0
45,35,Everton,Bournemouth,2
52,65,Crystal Palace,Nottingham Forest,1
39,66,Wolves,Aston Villa,1
48,34,West Ham,Newcastle,1
51,40,Brighton,Liverpool,1
42,50,Arsenal,Manchester City,2
40,45,Liverpool,Everton,2
34,52,Newcastle,Crystal Palace,2
35,39,Bournemouth,Wolves,0
50,51,Manchester City,Brighton,2
55,44,Brentford,Burnley,2
65,1359,Nottingham Forest,Luton,1
49,42,Chelsea,Arsenal,1
62,33,Sheffield Utd,Manchester United,0
66,48,Aston Villa,West Ham,2
47,36,Tottenham,Fulham,2
52,47,Crystal Palace,Tottenham,0
49,55,Chelsea,Brentford,0
35,44,Bournemouth,Burnley,2
42,62,Arsenal,Sheffield Utd,2
39,34,Wolves,Newcastle,1
48,45,West Ham,Everton,0
40,65,Liverpool,Nottingham Forest,2
51,36,Brighton,Fulham,1
66,1359,Aston Villa,Luton,2
33,50,Manchester United,Manchester City,0
36,33,Fulham,Manchester United,0
44,52,Burnley,Crystal Palace,0
45,51,Everton,Brighton,1
50,35,Manchester City,Bournemouth,2
55,48,Brentford,West Ham,2
62,39,Sheffield Utd,Wolves,2
34,42,Newcastle,Arsenal,2
65,66,Nottingham Forest,Aston Villa,2
1359,40,Luton,Liverpool,1
47,49,Tottenham,Chelsea,0
39,47,Wolves,Tottenham,2
33,1359,Manchester United,Luton,2
42,44,Arsenal,Burnley,2
52,45,Crystal Palace,Everton,0
35,34,Bournemouth,Newcastle,2
40,55,Liverpool,Brentford,2
48,65,West Ham,Nottingham Forest,2
51,62,Brighton,Sheffield Utd,1
66,36,Aston Villa,Fulham,2
49,50,Chelsea,Manchester City,1
50,40,Manchester City,Liverpool,1
